cas_number|chemical_name|ecotox_group|dtxsid
42459701|(4-Chloro-2-methylphenoxy)acetic acid compd. with 1,1'-iminobis[2-propanol] (1:1)||
42459712|(4-Chloro-2-methylphenoxy)acetic acid compd. with 1,1',1''-nitrilotris[2-propanol] (1:1)||
42461847|1-Deoxy-1-(methylamino)-D-glucitol 2-[[2-methyl-3-(trifluoromethyl)phenyl]amino]-3-pyridinecarboxylate (1:1)||
42489178|2-Aminoethanol compd. with 1,2-dihydro-3,6-pyridazinedione||
42509808|O-[5-Chloro-1-(1-methylethyl)-1H-1,2,4-triazol-3-yl]phosphorothioic acid O,O-diethyl ester||DTXSID7034676
42509831|Phosphorothioic acid, O-[5-Chloro-1-(1-methylethyl)-1H-1,2,4-triazol-3-yl] O,O-dimethyl ester||DTXSID8042058
42534612|[1 alpha(S*,3 beta)]-(+-)-2,2-Dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid 2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl ester||DTXSID6034502
42576023|5-(2,4-Dichlorophenoxy)-2-nitrobenzoic acid methyl ester||DTXSID1040320
42588374|(2E,4E)-3,7,11-Trimethyl-2,4-dodecadienoic acid, 2-Propyn-1-yl ester||DTXSID3032624
42609518|N-(3-Methylphenyl)-N'-(1-methyl-1-phenylethyl)urea||DTXSID401020394
42609529|N-(4-Methylphenyl)-N'-(1-methyl-1-phenylethyl)urea||DTXSID2058099
42609734|N-Methyl-N'-(1-methyl-1-phenylethyl)-N-phenylurea||DTXSID4058100
42615292|Benzenesulfonic acid, alkyl derivs.||DTXSID3020041
42615429|alpha-hydro-omega-hydroxypoly[oxy(methyl-1,2-ethanediyl)]hexanedioate||DTXSID90904987
42721993|2-(2,2-Diphenylacetyl)-1H-indene-1,3(2H)-dione ion(1-), Sodium salt (1:1)||DTXSID1034551
42751791|1,2-Ethanediamine, polymer with 2-(chloromethyl)oxirane and N-methylmethanamine||
42776614|Betulin-28-yl beta-maltoside||
42778723|2,3,3-Triiodo-2-propen-1-ol||
42789037|3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropanecarboxylic acid [5-(phenylmethyl)-3-furanyl]methyl ester|All Organic Chemicals|
42822866|2-Hydroxy-alpha,alpha,4-trimethylcyclohexanemethanol||
42835256|9-Fluoro-6,7-dihydro-5-methyl-1-oxo-1H,5H-benzo[ij]quinolizine-2-carboxylic acid||DTXSID5045623
42873803|1-[(Pent-4-yn-1-yl)oxy]-4-phenoxybenzene||DTXSID4058102
42874011|2-Chloro-1-(4-nitrophenoxy)-4-(trifluoromethyl)benzene||DTXSID9042205
42874033|2-Chloro-1-(3-ethoxy-4-nitrophenoxy)-4-(trifluoromethyl)benzene|Endocrine Disrupting Chemicals (EDCs)|DTXSID7024241
42907926|2-[[(3alpha,4alpha,8alpha,9beta,11alpha,13alpha,14beta,16alpha,17Z)-16-(Acetyloxy)-3,11-dihydroxy-21-oxo-29-nordammar-17(20)-en-21-yl]amino]ethanesulfonic acid sodium salt (1:1)||DTXSID801033903
42936889|2-(4-Chloro-2-methylphenoxy)-2-methylpropanoic acid||DTXSID701034677
42961886|4-Amino-3-methylphenol, Hydrochloride||
42976432|1-(Chloromethyl)-4-decylbenzene||
42990625|(alphaS)-alpha-(Aminooxy)benzenepropanoic acid||
43031794|Dichloroisopropanol, Mixed isomers||DTXSID701033924
43047990|Dichlorodibenzofuran||
43048006|Trichlorodibenzofuran||
43070855|Hydroxy-2H-1-benzopyran-2-one||DTXSID201352068
43121433|1-(4-Chlorophenoxy)-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)-2-butanone|Endocrine Disrupting Chemicals (EDCs)Conazoles|DTXSID3023897
43124896|Trihydroxylupane||
43171115|S-[4-(Ethylamino)-6-[(1-methylethyl)amino]-1,3,5-triazin-2-yl]-L-cysteine||
43210679|[5-(Phenylthio)-1H-benzimidazol-2-yl]carbonic acid, Methyl ester||DTXSID0040672
43222486|1,2-Dimethyl-3,5-diphenyl-1H-pyrazolium methyl sulfate||DTXSID6024048
43224813|2-Phenoxyethanol, p-Toluenesulfonate||DTXSID20400265
44860686|2,2'-(Methylenedithio)diethanol||DTXSID0044945
45048622|2,2,3,3,4,4,4-Heptafluorobutanoic acid ion (1-)|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID80892480
45124274|2-(N-Ethyl-N-octyl)aminoethanol||DTXSID201034096
45131928|1-Decanesulfonic acid, ion(1-)||DTXSID301019635
45167473|Nonafluoropentanoate|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID00892487
45187153|1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid ion(1-)|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID60873015
45285516|2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctanoic acid ion(1-)|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID40892486
45298906|1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid ion(1-)|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID80108992
46026759|(2S,3R)-Piperidine-2,3-dicarboxylic acid||DTXSID80963487
46492084|Benz[g]isoquinoline-5,10-dione||DTXSID80196854
46903020|1,1'-Bis(1-methylethyl)-4,4'-bipyridinium||DTXSID501035081
47082199|1,1'-Dibutyl-4,4'-bipyridinium||DTXSID70963739
47369131|1,1'-Dihexyl-4,4'-bipyridinium||DTXSID00197121
47922485|8-L-Glutamine-luteinizing hormone-releasing factor (swine)||DTXSID10197354
47931851|Salmon calcitonin|Pharmaceutical Personal Care Products (PPCPs)|DTXSID601026667
48042086|Tetracyanonickel (II)|Nickel|DTXSID701033443
48134754|1-Methyl-4-phenylpyridinium||DTXSID4058106
48145046|2-Phenoxyethyl prop-2-enoate||DTXSID4040715
49557713|1,2-Dihydro-3,6-pyridazinedione calcium salt (2:1)||
49562289|2-[4-(4-Chlorobenzoyl)phenoxy]-2-methylpropanoic acid, 1-Methylethyl ester|Pharmaceutical Personal Care Products (PPCPs)|DTXSID2029874
49625210|4-[[4-[[[(4-Methoxy-2-nitrophenyl)amino]carbonyl]amino]benzoyl]amino]butanoic acid||DTXSID20197941
49645898|1-(2-Hydroxyphenyl)ethanone sodium salt||DTXSID801034337
49669741|(2S,3E)-2-Amino-4-(2-aminoethoxy)-3-butenoic acid||DTXSID7043875
49748767|3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxiren-8-ol stereoisomer||DTXSID801033622
49765244|1,4-Dihydro-1-propyl-4-(1-propylpyridinium-4-yl)-4-pyridinyl||DTXSID101035277
49783804|4-(Aminomethyl)-benzenesulfonamide, Hydrochloride||
49785742|EM-87||DTXSID40866142
49863470|O-2-Amino-2,7-dideoxy-D-glycero-alpha-D-gluco-heptopyranosyl-(1->4)-O-[3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1->6)]-2-deoxy-D-streptamine||DTXSID10198129
49866877|1,2-Dimethyl-3,5-diphenyl-1H-pyrazolium||DTXSID6043965
50264863|1-[(4-Chlorophenyl)methyl]-1H-indazole-3-carboxylic acid||
50291322|(5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol, Monosodium salt|Pharmaceutical Personal Care Products (PPCPs)|
50299473|(3aS,4R,5S,8aR)-3-Methyl-5-(6-methylhept-5-en-2-yl)-8-methylidene-1,3a,4,5,6,7,8,8a-octahydroazulen-4-ol (incorrect configuration definition)||DTXSID00198299
50326222|5-(4-Chlorophenyl)-2H-tetrazole-2-acetic acid ethyl ester||DTXSID50198340
50328488|N-Ethyl-N,N-dimethylbenzenemethanaminium bromide (1:1)||DTXSID90964607
50355743|3,3-Dimethyl-1-(2,4,6-trichlorophenyl)-1-triazene||
50375105|1,2,4-Trichloro-3-methoxybenzene||DTXSID60198432
50375150|4'-(2-Hydroxyethoxy)acetanilide||DTXSID3068544
50398691|Phosphorodithioic acid, S-[(5-Chloro-2-thiazolyl)methyl] O,O-dimethylester||DTXSID9058109
50428030|2-Amino-4-pentynoic acid||DTXSID301033465
50470252|3,3,3-Trifluoro-2,2-dihydroxy-1-phenyl-1-propanone||
50471448|3-(3,5-Dichlorophenyl)-5-ethenyl-5-methyl-2,4-oxazolidinedione|Endocrine Disrupting Chemicals (EDCs)|DTXSID4022361
50512351|1,3-Dithiolan-2-ylidenepropanedioic acid bis(1-methylethyl)ester||DTXSID8058110
50515281|2-Hydroxy-1,2,3-propanetricarboxylic acid, Iron -59Fe salt||
50540619|4-Bromo-2,5-dichlorophenol sodium salt||DTXSID00198577
50563365|2-Chloro-N-(2,6-dimethylphenyl)-N-(2-methoxyethyl)acetamide||DTXSID3058111
50585416|2,3,7,8-Tetrabromodibenzo[b,e][1,4]dioxin||DTXSID6073524
50585461|1,3,7,8-Tetrachlorodibenzo[b,e][1,4]dioxin||
50594666|5-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid||DTXSID0020022
50594677|5-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid methyl ester||DTXSID8041583
50598282|N-[3-(Dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonamide|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID7068556
50603059|Hexanedioic acid, copper salt (1:?)||
50622996|2'-Chloro-2-nitrobenzanilide||DTXSID001035098
50628723|1,2-Dihydro-3,6-pyridazinedione monoammonium salt||
50639004|2-Ethyl-2-hexen-1-ol||DTXSID60880820
50642018|Teepol 610||DTXSID201034903
50642030|Benzenesulfonic acid, Dodecyl-, Sodium salt, mixt. with alpha-(nonylphenyl)-omega-hydroxypoly(oxy-1,2-ethanediyl)||DTXSID601034250
50642143|Validamycin||DTXSID00893035
50642154|Volan||
50655566|4-Amino-3,5,6-trichloro-2-pyridinecarboxylic acid sodium salt (1:1)||DTXSID201035387
50656616|(3a alpha, 8 beta, 8a alpha)-(-)-1,2,3,3a,8,8a-Hexahydro-2,2,8-trimethyl-5,6-azulenedicarboxaldehyde||DTXSID20964892
50679088|alpha-[4-(1,1-Dimethylethyl)phenyl]-4-(hydroxydiphenylmethyl)-1-piperidinebutanol||DTXSID2023642
50722413|9,10-Dihydro-2,7-dimethoxyphenanthrene||
50723803|3-(1-Methylethyl)-1H-2,1,3-benzothiadiazin-4(3H)-one 2,2-dioxide sodium salt (1:1)||DTXSID0032522
50724033|N,N-Diethyl-2-[2-methoxy-4-(2-propen-1-yl)phenoxy]ethanamine||DTXSID20320414
50725263|[4R-(4 alpha,5 beta,6 beta,6a alpha,9 alpha,10a beta)]-1,2,4,5,6,6a,7,8,9,10a-Decahydro-5,6-dihydroxy-9-(methoxymethyl)-6,10a-dimethyl-3-(1-methylethyl)dicyclopenta[a,d]cycloocten-4-yl-6-O-methyl-alpha-D-glucopyranoside||
50767798|(9Z,11E)-9,11-Tetradecadien-1-ol, 1-Acetate||
50782699|Methylphosphonothioic acid S-[2-[bis(1-methylethyl)amino]ethyl] O-ethyl ester||DTXSID80866161
50788675|3,3'-[(Dioctylstannylene)bis(thio)]bis-proanoic acid diisooctyl ester|Organotin|DTXSID90198824
50815775|RH-886||DTXSID701033481
50820241|Ferrous sulfite||DTXSID401028431
50836663|3,3,4,4,5,5,6,6,7,8,8,8-Dodecafluoro-7-(trifluoromethyl)octyl 2-methylprop-2-enoate|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID60379901
50854949|Undecylbenzenesulfonic acid||
50868581|N-[(2-hydroxyphenyl)methyl]adenosine||
50887699|1,2,3,6-Tetrahydro-2,6-dioxo-4-pyrimidinecarboxylic acid, Monohydrate||DTXSID301035192
50892234|2-[[4-Chloro-6-[(2,3-dimethylphenyl)amino]-2-pyrimidinyl]thio]acetic acid||DTXSID4020290
50903996|N5-[Imino(nitroamino)methyl]-L-ornithine,Methyl ester||DTXSID5040540
50922708|2-(2,4-Dichlorophenoxy)propanoic acid mixt. with 4-chloro-2-methylphenoxy)acetic acid, 3,5-dibromo-4-hydroxybenzonitrile and 4-hydroxy-3,5-diiodobenzonitrile||
50924497|5-Hydroxy-1-beta-D-ribofuranosyl-1H-imidazole-4-carboxamide||DTXSID8045777
50933147|(2,4-Dichlorophenoxy)acetic acid 1-methylethyl ester mixt. with S-[2-(2-methyl-1-piperidinyl)-2-oxoethyl] O,O-dipropyl phosphorodithioate||DTXSID201033886
50933330|7,11-Hexadecadien-1-ol acetate||
50934162|Hexahydro-1H-azepine-1-carbothioic acid S-ethyl ester mixt. with N-(3,4-dichlorophenyl)propanamide||DTXSID801035559
50984526|Methoxybenzaldehyde||
51004309|2-(Acetyloxy)benzoic acid mixt. with aluminum hydroxide (Al(OH)3)3,7-dihydro-1,3,7-trimethyl-1H-purine-2,6-dione(alphaR)-3-hydroxy-?-[(methylamino)methyl]benzenemethanol hydrochloride (1:1) magnesium carbonate (1:1) and 2,3,4,9-tetrahydro-2-methyl-9-phenyl-1H-indeno[2,1-c]pyridine(2R,3R)-2,3-dihydroxybutanedioate (1:1)||
51005006|Poron (filtering agent)||
51022709|alpha1-[[(1,1-Dimethylethyl)amino]methyl]-4-hydroxy-1,3-benzenedimethanol sulfate (2:1)||
51026154|2-Ethyl-7-nitro-5-(trifluoromethyl)-1H-benzimidazole||
51026289|(Hydroxymethyl)methylcarbamodithioic acid monopotassium||DTXSID6042319
51026552|TH-6241-5-Trimethyl-7-chloro-4-ethoxycarbonylmethoxy -1,2,3-benzothiadiazole||
51052723|4-(1-Methylethyl)-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane 1-oxide||DTXSID50199059
51090369|7-Oxabicyclo[2.2.1]heptane-2,3-dicarboxylic acid, compd. with N,N-dimethyl-1-hexadecanamine (1:2)||
51110011|Somatostatin||
51134884|(1S,3R)-2,2-Dimethyl-3-(2-methyl-1-propen-1-yl)cyclopropanecarboxylic acid, (3-Phenoxyphenyl)methyl ester||DTXSID50199155
51137101|Hexanedioic acid, copper(2+) salt (1:?)||
51137112|1,2-Dihydro-3,6-pyridazinedione ammonium salt||
51142417|DS 22733||
51142428|DS 23017||
51142495|1,1,2,2,3,3,4,4,4-Nonafluoro-N,N-bis(1,1,2,2,3,3,4,4,4-nonafluorobutyl)-1-butanamine mixt. with 1,1,2,2,3,3,4,4,4-nonafluoro-N-(1,1,2,2,3,3,4,4,4-nonafluorobutyl)-N-(trifluoromethyl)-1-butanamine|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID10882839
51142611|Isophos||DTXSID901035457
51142622|Jeyes farm fluid||DTXSID201035799
51146555|4-(2-Hydroxy-2-methylpropyl)-alpha-methylbenzeneacetic acid||
51146566|(alphaS)-alpha-Methyl-4-(2-methylpropyl)benzeneacetic acid||
51158088|alpha-Hydro-omega-hydroxypoly(oxy-1,2-ethanediyl)ether with 1,2,3-Propanetriolmonooctadecanoate (2:1)||DTXSID201012698
51158180|Berol TL-188||DTXSID201033636
51158191|Berol TL-198||DTXSID901033594
51158215|Corexit 8666||DTXSID301033384
51166713|2A,2B,2C,2D,2E,2F,2G,6A,6B,6C,6D,6E,6F,6G-Tetradeca-O-methyl-beta-cyclodextrin||
51169176|5-(4-Methylphenyl)-5-phenyl-2,4-imidazolidinedione||DTXSID701023654
51170582|2-(2,4-Dichlorophenoxy)propanoic acid compd. with 2,2' iminobis[ethanol] (1:1)||
51173638|(2,4-Dichlorophenoxy)acetic acid--methanamine (1/1)||DTXSID0034304
51186880|2,2-Dimethyl-3-(2-methyl-1-propen-1-yl)cyclopropanecarboxylic acid,  (1R,3S)-(3-Phenoxyphenyl)methyl ester||DTXSID30274050
51200874|4,4-Dimethyloxazolidine||DTXSID0032314
51207319|2,3,7,8-Tetrachlorodibenzofuran|Dibenzofurans|DTXSID3052147
51218452|2-Chloro-N-(2-ethyl-6-methylphenyl)-N-(2-methoxy-1-methylethyl)acetamide|Endocrine Disrupting Chemicals (EDCs)|DTXSID4022448
51218496|2-Chloro-N-(2,6-diethylphenyl)-N-(2-propoxyethyl)acetamide||DTXSID8058112
51222403|Polyclens industrial TS 7||DTXSID601033640
51222607|Boric acid, Cadmium salt (unspecified)||
51229788|1-[(2Z)-3-Chloro-2-propenyl]-3,5,7-triaza-1-azoniatricyclo[3.3.1.13,7]decane chloride||DTXSID0035748
51235042|3-Cyclohexyl-6-(dimethylamino)-1-methyl-1,3,5-triazine-2,4-(1H,3H)dione||DTXSID4024145
51248329|alpha-Hydro-omega-hydroxypoly(oxy-1,2-ethanediyl)ether with 1,2,3-propanetriolmonododecanoate (2:1)||DTXSID701012643
51264143|N-[4-(9-Acridinylamino)-3-methoxyphenyl]methanesulfonamide||
51276472|2-Amino-4-(hydroxymethylphosphinyl)butanoic acid||DTXSID0043973
51298625|Methyl (E)-N~5~-[amino(nitroamino)methylidene]-L-ornithinate--hydrogen chloride (1/1)||DTXSID10199292
51299822|3-Propoxypropanenitrile||
51299866|2,2'-Methylenebis[3,4,6-trichloro]phenol sodium salt||
51310806|2,4,5,6-Tetrachloro-1,3-benzenedicarbonitrile mixt. with copper hydroxide (Cu(OH)2)||
51312244|Mercury chloride|Mercury|DTXSID40858724
51337714|2-[4-(4-Chlorophenoxy)phenoxy]propanoic acid, 2-Methyl propyl ester||DTXSID3041792
51338262|2-(4-Phenoxyphenoxy)propanoic acid||
51338273|2-[4-(2,4-Dichlorophenoxy)phenoxy]propanoic acid methyl ester||DTXSID0032605
51348904|(1R-cis)-2,2-Dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid (1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl ester||DTXSID6058506
51348915|(1S-cis)-2,2-Dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid (1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl ester||
51367216|3,6-Dichloro-2-methoxy-Benzoic acid, mixt. with 3-(1-methylethyl)-1H-2,1,3-benzothiadiazin-4(3H)-one 2,2-dioxide||
51378519|2-[(1-Ethyl-2-propynyl)oxy]tetrahydro-2H-pyran||
51384511|1-[4-(2-Methoxyethyl)phenoxy]-3-[(1-methylethyl)amino]-2-propanol|Pharmaceutical Personal Care Products (PPCPs)|DTXSID2023309
51394377|N,N-Diethyl-2-(1-naphthalenyloxy)propanamide mixt. with 6-chloro-N,N'-diethyl-1,3,5-triazine-2,4-diamine||
51395109|Disodium copper salt of ethylene diamine-tetra acetic acid||DTXSID80965704
51415022|Calenduloside F (Oleanolic acid glycoside)||
51436998|4-Bromo-2-fluoro-1-methylbenzene||DTXSID30199411
51437957|2-{2-[2-(4-Nonylphenoxy)ethoxy]ethoxy}ethan-1-ol||DTXSID90866197
51461713|N-(2,2-Dimethoxyethyl)-N'-[5-(1,1-dimethylethyl-1,3,4-thiadiazol-2-yl]-N-methylurea||DTXSID0074051
51481108|(3alpha,7alpha)-12,13-Epoxy-3,7,15-trihydroxytrichothec-9-en-8-one||DTXSID3020382
51481619|N-Cyano-N'-methyl-N''-[2-[[(4-methyl-1H-imidazol-5-yl)methyl]thio]ethyl]guanidine|Pharmaceutical Personal Care Products (PPCPs)|DTXSID4020329
51481653|(2S,5R,6R)-3,3-Dimethyl-6-[[(2R)-2-[[[3-(methylsulfonyl)-2-oxo-1-imidazolidinyl]carbonyl]amino]-2-phenylacetyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid||DTXSID1023316
51486749|4-Propyl-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane 1-oxide||
51487695|2-(2-Chloro-1-methoxyethoxy)phenol 1-(N-methylcarbamate)||
51528031|N-(Dimethyl-lambda4-sulfanylidene)-4-(dipropylamino)-3,5-dinitrobenzenesulfonamide||DTXSID3058113
51537703|N-Hydroxytridecanamide||
51537838|1-Naphthaleneacetic acid, p-Chlorobenzyl ester||DTXSID601034036
51542520|1,2-Dihydro-3,6-pyridazinedione potassium salt||
51550404|N-(2,4-Dimethylphenyl)-N'-methylmethanimidamide hydrochloride (1:1)||DTXSID10199510
51554939|p-Bromophenyloctane||DTXSID50199514
51559014|CPA||DTXSID601351929
51568606|PPG-139||DTXSID401035252
51580860|Sodium 3,5-dichloro-2,4,6-trioxo-1,3,5-triazinan-1-ide--water (1/1/2)||DTXSID0029761
51590671|Butyloxostannane||DTXSID20872509
51591561|2,3-Dimethylbenzenesulfonic acid sodium salt||
51593885|N-(4-Chlorophenyl)-N'-hydroxyethanimidamide||
51594833|3-Pyridinylmethyl ester (4-nitrophenyl)carbamic acid||
51596102|(6R,25R)-5-O-Demethyl-28-deoxy-6,28-epoxy-25-methylmilbemycin B||DTXSID1058391
51596113|(6R,25R)-5-O-Demethyl-28-deoxy-6,28-epoxy-25-ethylmilbemycin B||DTXSID4052760
51602029|3,6-Dichloro-2-methoxybenzoic acid compd. with N-methylmethanamine (1:1) mixt. with N-methylmethanamine 2-(2,4-dichlorophenoxy)acetate||DTXSID801035161
51602143|(4-Chloro-2-methylphenoxy)acetic acid mixt. with N'-(3-chloro-4-methylphenyl)-N,N-dimethylurea||
51609520|Lursect||DTXSID5034565
51630581|4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester||DTXSID101017940
51661199|1,2-Bis(o-nitrophenoxy)ethane||DTXSID30963836
51682452|(T-4)-Trisodiumtungstate (WO43-)||
51706402|4-[2-Hydroxy-3-[(1-methylethyl)amino]propoxy]benzeneacetamide hydrochloride (1:1)||
51707552|N-Phenyl-N'-1,2,3-thiadiazol-5-yl-urea||DTXSID0032651
51719654|3,5-Dichlorobenzeneacetic acid||DTXSID20199667
51721392|3-Decyn-1-ol||DTXSID80199668
51724380|Calenduloside E, Monomethyl ester||
51724404|Calenduloside E, Methyl ester||
51749349|Mescaline sulfate||
51773923|(alphaS)-rel-alpha-(2R)-2-Piperidinyl-2,8-bis(trifluoromethyl)-4-quinolinemethanol hydrochloride (1:1)||DTXSID1047819
51775361|(5-endo, 6-exo)-2,2,5,6-Tetrachloro-1,7,7-tris(chloromethyl)bicyclo(2.2.1)heptane||DTXSID80874069
51776331|4-10-Luteinizing hormone-releasing factor (swine)||
51786539|2,5-Dimethylbenzenamine hydrochloride||
51787361|Gibberellin  A40||
51803782|N-(4-Nitro-2-phenoxyphenyl)methanesulfonamide||DTXSID3037250
51810709|Zinc phosphide  (ZnP)||
51810801|S-[(4-Chlorophenyl)methyl]ester diethyl carbamothioic acid mixt. with 1,3,5-trichloro-2-(4-nitrophenoxy)benzene||DTXSID001035543
51811768|FIT||DTXSID701351889
51811791|alpha-(Nonylphenyl)-omega-hydroxypoly(oxy-1,2-ethanediyl)phosphate||DTXSID1028023
51839282|2,4-D-Isooctyl ester-2,4,5-T isooctyl ester mixt.||DTXSID70895142
51851377|Triethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID1074915
51857251|2,2',6,6'-Tetranitro-4,4'-azoxytoluene||DTXSID001031484
51877533|2-Hydroxypropanoic acid, Manganese salt||DTXSID50966208
51877748|(1R,3S)-3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropanecarboxylic acid (3-phenoxyphenyl)methyl ester||DTXSID8058116
51887253|2-Tridecyn-1-ol||DTXSID10455789
51892263|2,4-Dichloro-1-phenoxybenzene||DTXSID00199847
51892569|1-(Ethylsulfinyl)-N,N-dipropylformamide||DTXSID80966216
51892581|1-(Ethylsulfonyl)-N,N-dipropylformamide||
51892638|N-Cyclohexyl-N-ethyl-1-(ethylsulfinyl)formamide (9CI)||
51901338|1,2-Ethanediol, Acetate||DTXSID601351943
51908168|2,2',3,4',5,5'-Hexachloro-1,1'-biphenyl||
51913714|Copper(II)bis-N,N-dihydroxyethylglycine||DTXSID601035010
51930042|1,3-Dibromo-2-phenoxybenzene|Polybrominated Diphenyl Ethers (PBDEs)|
51952411|Luteinizing hormone-releasing factor (swine) hydrochloride||DTXSID7048954
51954757|1-[[(4-Chlorophenyl)methyl]sulfonyl]-N,N-diethylformamide||DTXSID001033747
51954768|1-[[(4-Chlorophenyl)methyl]sulfinyl]-N,N-diethylformamide||
51962631|1,2-Dichloro-4-(1,2-dichloroethyl)cyclohexane||DTXSID50966288
51971676|1-(4-Chloro-1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)cyclohexanecarboxamide||
51971734|4-Chloro-1,3-dihydro-alpha-methyl-alpha-(2-methylpropyl)-1,3-dioxo-2H-isoindole-2-acetamide||
51972577|1-(1,3,4,5,6,7-Hexahydro-1,3-dioxo-2H-isoindol-2-yl)cyclohexanecarboxamide||
51981216|Tetrasodium (2S)-2-[bis(carboxylatomethyl)amino]pentanedioate||DTXSID2052158
51990046|N,N-Dipropylcarbamothioic acid S-ethyl ester mixt. with 2,2-dichloro-N,N-di-2-propen-1-ylacetamide||DTXSID60966315
52013442|Ni 54.0-57.0,Ti 43-46,C 0-0.07,Co 0-0.05,Fe 0-0.05,O0-0.05,Nb 0-0.025,Cr 0-0.01,Cu 0-0.01,H 0-0.005 Nickel alloy base||
52019393|Taipoxin||DTXSID00897073
52019495|2-(1-Methylethoxy)phenol methylcarbamate, mixt. with 1,1'-(2,2,2-trichloroethylidene)bis[4-methoxybenzene]||DTXSID60199989
52038489|Armohib 25||DTXSID001035286
52047333|Nitropyridinamine||
52050029|Chloromuconic acid||DTXSID701034710
52080816|[N-[2-[(dithiocarboxy)amino]ethyl]carbamodithioato(2-)]-kappaS,kappaS']manganese mixt. with methyl N-1H-benzimidazol-2-ylcarbamate||
52196482|5-Chloro-2-hydroxyoctanophenone||DTXSID80397945
52207484|Thiosulfuric acid (H2S2O3), SS,SS'-[2-(Dimethylamino)-1,3-propanediyl] ester, Sodium salt (1:2)||DTXSID6058394
52214843|2-[4-(2,2-Dichlorocyclopropyl)phenoxy]-2-methylpropanoic acid||DTXSID8020331
52225204|(2R)-rel-3,4-Dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-2H-1-benzopyran-6-ol 6-acetate||DTXSID3021356
52233246|S-6044||DTXSID201034191
52234910|Bis(p-chlorophenyl)acetamide||DTXSID00200280
52236290|1-[(Ethylsulfinyl)carbonyl]hexahydro-1H-azepine||DTXSID1058395
52236303|6-(1,1-Dimethylethyl)-1,2,4-triazine-3,5(2H,4H)-dione||
52279499|(OC-6-21)-[[N,N'-1,2-Ethanediylbis[N-[(carboxy-kappa,O)-methyl]glycinato manganate (2-)||DTXSID501033461
52287953|N-Ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-[2-[2-(2-hydroxyethoxy)ethoxy]ethyl]-1-octanesulfonamide||
52292178|alpha-Isooctadecyl-omega-hydroxypoly(oxy-1,2-ethanediyl)||DTXSID3034828
52299204|2-[(Hydroxymethyl)amino]-2-methyl-1-propanol||
52299260|P-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heneicosafluorodecyl)phosphonic acid|Per- and Polyfluoroalkyl Substances (PFAS)|DTXSID40879833
52301425|Bis(2-nitro-1-phenethyl)sulfide||DTXSID501034526
52301641|Phloroglucinolphthalein||DTXSID401035490
52303692|1,3-Dithiolan-2-ylidenepropanedioic acid, Bis(1-methylethyl) ester, S-oxide||DTXSID80897278
52304366|N-Acetyl-N-butyl-beta-alanine ethyl ester||DTXSID9035753
52306328|Clophen A 40||DTXSID50873504
